name,antenna,rssi,angle
CC2640r2 Passive V,2,-55,-52
CC2640r2 Passive V,2,-58,-51
CC2640r2 Passive V,2,-56,-48
CC2640r2 Passive V,2,-56,-48
CC2640r2 Passive V,2,-53,-48
CC2640r2 Passive V,2,-58,-49
CC2640r2 Passive V,2,-57,-46
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-59,-46
CC2640r2 Passive V,2,-58,-45
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-53,-46
CC2640r2 Passive V,2,-58,-47
CC2640r2 Passive V,2,-57,-48
CC2640r2 Passive V,2,-56,-48
CC2640r2 Passive V,2,-55,-48
CC2640r2 Passive V,2,-60,-46
CC2640r2 Passive V,2,-57,-46
CC2640r2 Passive V,2,-56,-46
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-61,-45
CC2640r2 Passive V,2,-57,-45
CC2640r2 Passive V,2,-57,-46
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-53,-46
CC2640r2 Passive V,2,-58,-46
CC2640r2 Passive V,2,-57,-45
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-55,-45
CC2640r2 Passive V,2,-59,-45
CC2640r2 Passive V,2,-57,-44
CC2640r2 Passive V,2,-55,-44
CC2640r2 Passive V,2,-55,-45
CC2640r2 Passive V,2,-59,-44
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-56,-44
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-59,-47
CC2640r2 Passive V,2,-56,-46
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-53,-46
CC2640r2 Passive V,2,-58,-48
CC2640r2 Passive V,2,-58,-45
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-55,-45
CC2640r2 Passive V,2,-59,-46
CC2640r2 Passive V,2,-58,-46
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-53,-47
CC2640r2 Passive V,2,-58,-47
CC2640r2 Passive V,2,-57,-48
CC2640r2 Passive V,2,-56,-48
CC2640r2 Passive V,2,-55,-47
CC2640r2 Passive V,2,-60,-46
CC2640r2 Passive V,2,-58,-46
CC2640r2 Passive V,2,-56,-46
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-61,-45
CC2640r2 Passive V,2,-58,-46
CC2640r2 Passive V,2,-57,-46
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-53,-46
CC2640r2 Passive V,2,-58,-46
CC2640r2 Passive V,2,-57,-45
CC2640r2 Passive V,2,-55,-45
CC2640r2 Passive V,2,-55,-45
CC2640r2 Passive V,2,-60,-44
CC2640r2 Passive V,2,-58,-44
CC2640r2 Passive V,2,-55,-43
CC2640r2 Passive V,2,-55,-44
CC2640r2 Passive V,2,-58,-44
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-56,-45
CC2640r2 Passive V,2,-55,-46
CC2640r2 Passive V,2,-58,-47
CC2640r2 Passive V,2,-56,-46
CC2640r2 Passive V,2,-55,-47
CC2640r2 Passive V,2,-53,-46
CC2640r2 Passive V,2,-58,-48
CC2640r2 Passive V,2,-57,-45
