name,antenna,rssi,angle
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-51
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-47,-50
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-51,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-50
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-50
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-51,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-50
CC2640r2 Passive V,2,-47,-50
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-51,-47
CC2640r2 Passive V,2,-48,-46
CC2640r2 Passive V,2,-50,-47
CC2640r2 Passive V,2,-49,-46
CC2640r2 Passive V,2,-47,-46
CC2640r2 Passive V,2,-49,-46
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-50
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-47
CC2640r2 Passive V,2,-51,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-47,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-47,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-49,-50
CC2640r2 Passive V,2,-48,-50
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-50
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-50,-47
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-47,-50
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-51,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-48,-48
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-47
CC2640r2 Passive V,2,-49,-48
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-51,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-49,-49
CC2640r2 Passive V,2,-48,-49
CC2640r2 Passive V,2,-50,-49
