X,Y,Z
4,-12,253
4,-14,251
5,-14,251
5,-14,252
4,-13,253
4,-14,253
4,-13,253
4,-13,253
4,-13,252
4,-13,252
5,-12,252
4,-13,251
5,-14,253
4,-14,253
5,-14,253
4,-14,252
4,-13,249
4,-13,253
4,-14,253
4,-13,252
5,-15,252
5,-14,252
5,-13,252
5,-14,251
5,-13,252
4,-14,253
4,-14,249
4,-13,252
3,-14,253
5,-13,252
3,-13,253
4,-13,251
4,-14,253
5,-14,252
5,-14,252
4,-3085,-3085
4,-13,253
3,-13,251
4,-13,252
5,-14,252
5,-15,252
4,-13,252
3,-13,254
3,-13,252
5,-14,252
5,-13,251
3,-13,252
4,-13,252
5,-13,251
4,-14,252
4,-13,253
4,-14,-1
5,-14,251
4,-13,252
4,-13,251
3,-13,252
4,-13,252
4,-14,251
4,-13,252
4,-14,252
5,-14,-1
3,-14,252
5,-13,253
4,-14,253
4,-13,251
5,-14,252
4,-14,251
4,-13,252
4,-2828,-2828
5,-13,252
4,-12,251
4,-13,252
4,-13,253
4,-14,251
4,-13,252
5,-14,252
4,-13,252
4,-13,253
5,-13,251
4,-13,252
4,-13,251
4,-13,251
5,-13,252
4,-13,252
4,-14,251
0,0,0
4,-14,252
4,-14,253
4,-14,251
4,-13,253
5,-13,252
4,-13,253
4,-14,253
1028,1028,1028
4,-14,252
4,-13,252
5,-13,251
5,-14,252
5,-14,251
5,-15,253
4,-15,252
4,-13,252
0,0,0
4,-14,252
3,-13,252
4,-13,252
5,-14,251
4,-13,253
4,-14,252
5,-12,252
4,-13,252
4,-13,253
3,-14,252
5,-13,252
4,-12,253
4,-13,251
5,-14,252
3,-13,252
4,-14,252
4,-14,253
4,-14,252
4,-14,252
5,-14,253
4,-14,252
5,-15,251
4,-12,252
4,-14,254
5,-13,251
4,-13,252
3,-13,251
5,-13,252
3,-14,252
4,-13,253
4,-14,252
5,-15,251
5,-14,252
5,-14,251
4,-13,252
4,-12,253
4,-14,252
4,-15,253
4,-14,251
4,-14,251
3,-14,251
4,-14,253
5,-14,252
5,-13,252
3,-13,251
4,-13,252
4,-13,252
5,-13,252
4,-14,252
4,-14,253
4,-14,253
4,-13,253
4,-13,253
5,-14,252
5,-15,251
5,-14,251
5,-14,250
4,-14,252
4,-14,251
4,-14,253
4,-13,251
5,-14,253
5,-14,254
4,-14,251
4,-13,253
4,-13,252
4,-12,253
5,-13,252
4,-14,252
4,-13,253
4,-13,252
4,-13,252
4,-14,251
5,-14,252
4,-13,253
5,-14,253
4,-14,251
3,-13,253
4,-14,252
4,-14,252
4,-13,252
4,-13,251
4,-14,251
4,-14,251
4,-3085,-3085
4,-14,252
4,-14,251
4,-13,252
5,-13,253
4,-13,252
3,-14,251
5,-14,253
5,-13,251
5,-14,251
4,-12,252
4,-13,251
4,-14,251
4,-14,252
4,-14,251
5,-14,252
4,-14,252
1028,1028,1028
4,-13,251
4,-13,252
4,-13,251
4,-13,252
4,-13,253
4,-13,253
4,-13,251
4,-13,253
5,-13,250
4,-14,251
5,-13,253
4,-13,251
5,-14,253
4,-14,251
4,-13,252
4,-14,253
5,-13,252
6,-14,252
4,-14,252
4,-15,253
4,-14,251
4,-14,252
4,-14,252
4,-14,252
5,-14,251
4,-14,252
4,-12,252
4,-13,252
4,-14,253
5,-13,252
4,-13,252
4,-14,252
4,-14,252
5,-15,251
4,-13,252
4,-14,252
3,-13,252
5,-14,253
4,-14,250
5,-14,251
4,-12,252
4,-13,252
5,-13,252
5,-14,252
4,-14,252
4,-14,252
3,-14,251
4,-13,251
5,-14,251
5,-13,252
4,-13,252
4,-15,253
3,-13,252
4,-13,253
4,-13,251
4,-13,253
4,-14,252
4,-13,252
4,-13,252
3,-12,253
5,-15,253
5,-14,252
4,-13,253
4,-14,252
4,-13,254
4,-13,252
3,-13,252
4,-14,252
4,-14,252
4,-14,253
4,-14,253
4,-14,253
4,-12,252
4,-14,251
4,-14,253
4,-14,251
