name,antenna,rssi,angle
CC2640r2 Passive V,2,-66,-43
CC2640r2 Passive V,2,-68,-41
CC2640r2 Passive V,2,-65,-42
CC2640r2 Passive V,2,-68,-43
CC2640r2 Passive V,2,-70,-46
CC2640r2 Passive V,2,-68,-44
CC2640r2 Passive V,2,-71,-42
CC2640r2 Passive V,2,-67,-42
CC2640r2 Passive V,1,-70,-37
CC2640r2 Passive V,2,-67,-36
CC2640r2 Passive V,2,-66,-34
CC2640r2 Passive V,2,-68,-36
CC2640r2 Passive V,2,-67,-36
CC2640r2 Passive V,2,-68,-36
CC2640r2 Passive V,2,-71,-40
CC2640r2 Passive V,2,-73,-37
CC2640r2 Passive V,2,-66,-34
CC2640r2 Passive V,2,-65,-34
CC2640r2 Passive V,2,-67,-35
CC2640r2 Passive V,2,-68,-36
CC2640r2 Passive V,2,-72,-31
CC2640r2 Passive V,2,-67,-33
CC2640r2 Passive V,2,-68,-34
CC2640r2 Passive V,2,-68,-30
CC2640r2 Passive V,2,-68,-31
CC2640r2 Passive V,2,-73,-28
CC2640r2 Passive V,2,-69,-30
CC2640r2 Passive V,2,-67,-34
CC2640r2 Passive V,2,-67,-35
CC2640r2 Passive V,2,-70,-37
CC2640r2 Passive V,1,-70,-36
CC2640r2 Passive V,2,-67,-39
CC2640r2 Passive V,2,-67,-40
CC2640r2 Passive V,2,-71,-35
CC2640r2 Passive V,2,-66,-36
CC2640r2 Passive V,2,-67,-36
CC2640r2 Passive V,2,-65,-39
CC2640r2 Passive V,1,-67,-36
CC2640r2 Passive V,2,-70,-40
CC2640r2 Passive V,2,-68,-42
CC2640r2 Passive V,2,-71,-40
CC2640r2 Passive V,2,-67,-39
CC2640r2 Passive V,2,-71,-35
CC2640r2 Passive V,2,-67,-36
CC2640r2 Passive V,2,-67,-30
CC2640r2 Passive V,2,-66,-32
CC2640r2 Passive V,2,-68,-34
CC2640r2 Passive V,2,-68,-34
CC2640r2 Passive V,2,-68,-36
CC2640r2 Passive V,2,-71,-36
CC2640r2 Passive V,1,-72,-36
CC2640r2 Passive V,2,-66,-33
CC2640r2 Passive V,2,-65,-33
CC2640r2 Passive V,2,-67,-33
CC2640r2 Passive V,2,-68,-34
CC2640r2 Passive V,2,-72,-30
